Metropolitan area name,2009,2013,Change?,Alternative?,Comments about the metropolitan area changed,Old name
"Abilene, TX",10180,10180,Same,,No change.,
"Akron, OH",10420,10420,Same,,No change.,
"Albany, GA",10500,10500,Same,,No change.,
"Albany-Schenectady-Troy, NY",10580,10580,Same,,No change.,
"Albuquerque, NM",10740,10740,Same,,No change.,
"Alexandria, LA",10780,10780,Same,,No change.,
"Allentown-Bethlehem-Easton, PA-NJ",10900,10900,Same,,No change.,
"Altoona, PA",11020,11020,Same,,No change.,
"Amarillo, TX",11100,11100,Same,,One new county.,
"Ames, IA",11180,11180,Same,,No change.,
"Anchorage, AK",11260,11260,Same,,No change.,
"Ann Arbor, MI",11460,11460,Same,,No change.,
"Anniston-Oxford-Jacksonville, AL (updated name)",11500,11500,Same,,No change.,"Anniston-Oxford, AL"
"Appleton, WI",11540,11540,Same,,No change.,
"Asheville, NC",11700,11700,Same,,No change.,
"Athens-Clarke County, GA",12020,12020,Same,,No change.,
"Atlanta-Sandy Springs-Roswell, GA (updated name)",12060,12060,Same,,No change.,"Atlanta-Sandy Springs-Marietta, GA"
"Atlantic City-Hammonton, NJ",12100,12100,Same,,No change.,
"Auburn-Opelika, AL",12220,12220,Same,,No change.,
"Augusta-Richmond County, GA-SC",12260,12260,Same,,One new county.,
"Austin-Round Rock, TX (updated name)",12420,12420,Same,,No change.,"Austin-Round Rock-San Marcos, TX"
"Bakersfield, CA (updated name)",12540,12540,Same,,No change.,"Bakersfield-Delano, CA"
"Baltimore-Columbia-Towson, MD (updated name)",12580,12580,Same,,No change.,"Baltimore-Towson, MD"
"Bangor, ME",12620,12620,Same,,No change.,
"Barnstable Town, MA",12700,12700,Same,,No change.,
"Baton Rouge, LA",12940,12940,Same,,No change.,
"Battle Creek, MI",12980,12980,Same,,No change.,
"Bay City, MI",13020,13020,Same,,No change.,
"Beaumont-Port Arthur, TX",13140,13140,Same,,One new county.,
"Bellingham, WA",13380,13380,Same,,No change.,
"Bend-Redmond, OR (updated name)",13460,13460,Same,,No change.,"Bend, OR"
"Billings, MT",13740,13740,Same,,One new county.,
"Binghamton, NY",13780,13780,Same,,No change.,
"Birmingham-Hoover, AL",13820,13820,Same,,No change.,
"Bismarck, ND",13900,13900,Same,,Two new counties.,
"Blacksburg-Christiansburg-Radford, VA",13980,13980,Same,,One new county,
"Bloomington, IN",14020,14020,Same,,One fewer original county.,
"Boise City, ID (updated name)",14260,14260,Same,,No change.,"Boise City-Nampa, ID"
