use,name,description,variableslink
y,B01001,SEX BY AGE,https://api.census.gov/data/2019/acs/acs5/groups/B01001.json
,B01001A,SEX BY AGE (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B01001A.json
,B01001B,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B01001B.json
,B01001C,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B01001C.json
,B01001D,SEX BY AGE (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B01001D.json
,B01001E,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B01001E.json
,B01001F,SEX BY AGE (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B01001F.json
,B01001G,SEX BY AGE (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B01001G.json
,B01001H,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B01001H.json
,B01001I,SEX BY AGE (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B01001I.json
,B01002,MEDIAN AGE BY SEX,https://api.census.gov/data/2019/acs/acs5/groups/B01002.json
,B01002A,MEDIAN AGE BY SEX (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B01002A.json
,B01002B,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B01002B.json
,B01002C,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B01002C.json
,B01002D,MEDIAN AGE BY SEX (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B01002D.json
,B01002E,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B01002E.json
,B01002F,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B01002F.json
,B01002G,MEDIAN AGE BY SEX (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B01002G.json
,B01002H,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B01002H.json
,B01002I,MEDIAN AGE BY SEX (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B01002I.json
y,B01003,TOTAL POPULATION,https://api.census.gov/data/2019/acs/acs5/groups/B01003.json
,B02001,RACE,https://api.census.gov/data/2019/acs/acs5/groups/B02001.json
,B02008,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,https://api.census.gov/data/2019/acs/acs5/groups/B02008.json
,B02009,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,https://api.census.gov/data/2019/acs/acs5/groups/B02009.json
,B02010,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,https://api.census.gov/data/2019/acs/acs5/groups/B02010.json
,B02011,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,https://api.census.gov/data/2019/acs/acs5/groups/B02011.json
,B02012,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,https://api.census.gov/data/2019/acs/acs5/groups/B02012.json
,B02013,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,https://api.census.gov/data/2019/acs/acs5/groups/B02013.json
,B02014,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS,https://api.census.gov/data/2019/acs/acs5/groups/B02014.json
,B02015,ASIAN ALONE BY SELECTED GROUPS,https://api.census.gov/data/2019/acs/acs5/groups/B02015.json
,B02016,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS,https://api.census.gov/data/2019/acs/acs5/groups/B02016.json
,B02017,AMERICAN INDIAN AND ALASKA NATIVE (AIAN) ALONE OR IN ANY COMBINATION BY SELECTED TRIBAL GROUPINGS,https://api.census.gov/data/2019/acs/acs5/groups/B02017.json
,B02018,ASIAN ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,https://api.census.gov/data/2019/acs/acs5/groups/B02018.json
,B02019,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,https://api.census.gov/data/2019/acs/acs5/groups/B02019.json
,B03001,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN,https://api.census.gov/data/2019/acs/acs5/groups/B03001.json
y,B03002,HISPANIC OR LATINO ORIGIN BY RACE,https://api.census.gov/data/2019/acs/acs5/groups/B03002.json
,B03003,HISPANIC OR LATINO ORIGIN,https://api.census.gov/data/2019/acs/acs5/groups/B03003.json
,B04004,PEOPLE REPORTING SINGLE ANCESTRY,https://api.census.gov/data/2019/acs/acs5/groups/B04004.json
,B04005,PEOPLE REPORTING MULTIPLE ANCESTRY,https://api.census.gov/data/2019/acs/acs5/groups/B04005.json
,B04006,PEOPLE REPORTING ANCESTRY,https://api.census.gov/data/2019/acs/acs5/groups/B04006.json
,B04007,ANCESTRY,https://api.census.gov/data/2019/acs/acs5/groups/B04007.json
,B05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B05001.json
,B05001PR,NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B05001PR.json
,B05002,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS,https://api.census.gov/data/2019/acs/acs5/groups/B05002.json
,B05003,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,https://api.census.gov/data/2019/acs/acs5/groups/B05003.json
,B05003A,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B05003A.json
,B05003B,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B05003B.json
,B05003C,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B05003C.json
,B05003D,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B05003D.json
,B05003E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B05003E.json
,B05003F,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B05003F.json
,B05003G,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B05003G.json
,B05003H,"SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B05003H.json
,B05003I,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B05003I.json
,B05004,MEDIAN AGE BY NATIVITY AND CITIZENSHIP STATUS BY SEX,https://api.census.gov/data/2019/acs/acs5/groups/B05004.json
,B05005,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B05005.json
,B05005PR,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B05005PR.json
,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B05006.json
,B05006PR,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B05006PR.json
,B05007,PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION,https://api.census.gov/data/2019/acs/acs5/groups/B05007.json
